TICKER,Company name
ANA.MC,Acciona S.A.
ACX.MC,Acerinox S.A.
ACS.MC,ACS Actividades de Construccion y Servicios S.A.
AENA.MC,Aena S.M.E. S.A.
ALM.MC,Almirall S.A.
AMS.MC,Amadeus IT Group S.A.
MTS.MC,ArcelorMittal
BBVA.MC,Banco Bilbao Vizcaya Argentaria S.A.
SAB.MC,Banco de Sabadell S.A.
SAN.MC,Banco Santander S.A.
BKT.MC,Bankinter S.A.
CABK.MC,CaixaBank S.A.
CLNX.MC,Cellnex Telecom S.A.
CIE.MC,Cie Automotive S.A.
ENG.MC,Enagas S.A.
ELE.MC,Endesa Sociedad Anonima
FER.MC,Ferrovial S.A.
FDR.MC,Fluidra S.A.
GRF.MC,Grifols S.A.
IBE.MC,Iberdrola S.A.
IDR.MC,Indra Sistemas S.A.
ITX.MC,Industria de Diseño Textil S.A.
COL.MC,Inmobiliaria Colonial SOCIMI S.A.
IAG.MC,International Consolidated Airlines Group S.A.
ROVI.MC,Laboratorios Farmaceuticos Rovi S.A.
MAP.MC,Mapfre S.A.
MEL.MC,Melia Hotels International S.A.
MRL.MC,MERLIN Properties SOCIMI S.A.
NTGY.MC,Naturgy Energy Group S.A.
PHM.MC,Pharma Mar S.A.
REE.MC,Red Electrica Corporacion S.A.
REP.MC,Repsol S.A.
SGRE.MC,Siemens Gamesa Renewable Energy S.A.
SLR.MC,Solaria Energia y Medio Ambiente SLRS
TEF.MC,Telefonica S.A.
